Symbol,Year,NetIncome,DepreciationAndAmortization,DeferredIncomeTax,StockBasedCompensation,ChangeInWorkingCapital,AccountsReceivables,Inventory,AccountsPayables,OtherWorkingCapital,OtherNonCashItems,NetCashProvidedByOperatingActivities,InvestmentsInPropertyPlantAndEquipment,AcquisitionsNet,PurchasesOfInvestments,SalesMaturitiesOfInvestments,OtherInvestingActivites,NetCashUsedForInvestingActivites,DebtRepayment,CommonStockRepurchased,DividendsPaid,OtherFinancingActivites,NetCashUsedProvidedByFinancingActivities,EffectOfForexChangesOnCash,NetChangeInCash,CashAtEndOfPeriod,CashAtBeginningOfPeriod,OperatingCashFlow,CapitalExpenditure,FreeCashFlow
ZM,2021,103711000,82321000,-160961000,1285752000,-412837000,-231845000,0,11611000,-192603000,392276000,1290262000,-115094000,-120553000,-2918171000,2835196000,300000,-318322000,0,-1000003000,0,9351000,-936942000,-8108000,26890000,1100243000,1073353000,1290262000,-115094000,1175168000
NVDA,2021,4368000000,1544000000,-2164000000,2709000000,-2207000000,822000000,-2554000000,-551000000,76000000,1391000000,5641000000,-1833000000,-49000000,-11974000000,21231000000,0,7375000000,0,-10039000000,-398000000,-1180000000,-11617000000,0,1399000000,3389000000,1990000000,5641000000,-1833000000,3808000000
DOCU,2021,-97454000,86255000,1697000,538726000,-255704000,-75964000,0,-26440000,-153300000,233239000,506759000,-77654000,0,-537460000,423917000,0,-191197000,-16000,-63041000,0,-47877000,-98256000,-3784000,213522000,723201000,509679000,506759000,-77654000,429105000
SHOP,2021,132000000,70000000,-1000000,615000000,195000000,116000000,0,0,79000000,-67000000,944000000,-39000000,-395000000,-5841000000,5590000000,-559000000,-1244000000,0,0,0,0,60000000,4000000,-236000000,1413000000,1649000000,944000000,-39000000,905000000
CRM,2021,208000000,3786000000,0,3279000000,-2069000000,-995000000,0,528000000,-1602000000,1907000000,7111000000,-798000000,-439000000,-5327000000,4575000000,0,-1989000000,-423000000,-4000000000,0,861000000,-3562000000,-8000000,1552000000,7016000000,5464000000,7111000000,-798000000,6313000000
UBER,2021,2156000000,823000000,26000000,1935000000,-694000000,-758000000,0,64000000,694000000,-661000000,3585000000,-223000000,0,-8826000000,5864000000,-41000000,-3226000000,-171000000,130000000,0,-130000000,-171000000,0,188000000,188000000,0,3585000000,-223000000,3362000000
BKNG,2021,3058000000,607000000,-257000000,404000000,1795000000,-1228000000,0,0,3023000000,947000000,6554000000,-368000000,0,-768000000,32000000,586000000,-518000000,-1880000000,-6621000000,0,3604000000,-4897000000,-40000000,1099000000,12251000000,11152000000,6554000000,-368000000,6186000000
AAL,2021,0,0,0,0,0,0,0,0,0,0,3803000000,0,0,-7323000000,8861000000,-2040000000,-502000000,-7718000000,0,0,4512000000,-3206000000,0,95000000,681000000,586000000,3803000000,0,3803000000
CSCO,2021,12613000000,1726000000,-2085000000,2353000000,5042000000,734000000,-1069000000,27000000,5350000000,237000000,19886000000,-849000000,-301000000,-11056000000,7122000000,-23000000,-5107000000,-500000000,-4890000000,-6302000000,-634000000,-11626000000,-105000000,3048000000,11627000000,8579000000,19886000000,-849000000,19037000000
BA,2021,-2242000000,1861000000,44000000,690000000,4089000000,-128000000,-1681000000,1672000000,4226000000,1562000000,5960000000,-1527000000,-70000000,-16448000000,15739000000,-131000000,-2437000000,-5216000000,0,0,-271000000,-5487000000,30000000,-1956000000,12691000000,14647000000,5960000000,-1527000000,4433000000
MRNA,2021,8362000000,348000000,-559000000,226000000,-3455000000,1790000000,492000000,240000000,-5977000000,59000000,4981000000,-400000000,0,-11435000000,6699000000,-40000000,-5176000000,0,-3329000000,0,-184000000,-3448000000,0,-3643000000,3217000000,6860000000,4981000000,-400000000,4581000000
TDOC,2021,-13659531000,270643000,-7840000,217852000,-60971000,-61641000,14800000,1876000,-16006000,13429139000,189292000,-172764000,0,0,2507000,2514000,-167743000,0,0,0,613000,6497000,-3344000,24702000,918182000,893480000,189292000,-172764000,16528000
PFE,2021,31401000000,5064000000,-3764000000,872000000,-4456000000,261000000,592000000,1191000000,-6500000000,150000000,29267000000,-3236000000,-22997000000,-38780000000,45462000000,3768000000,-15783000000,-7407000000,-2000000000,-8983000000,3556000000,-14834000000,-165000000,-1515000000,468000000,1983000000,29267000000,-3236000000,26031000000
REGN,2021,3953600000,421000000,-837800000,885000000,-94100000,-338800000,-271700000,598600000,-82200000,266300000,4594000000,-926400000,-54900000,-11646000000,9442200000,-336300000,-3185100000,0,-2935600000,0,0,-1790100000,-400000,-381600000,2737800000,3119400000,4594000000,-926400000,3667600000
ABT,2021,5723000000,3243000000,0,644000000,-1348000000,-356000000,-232000000,-760000000,1348000000,-2349000000,7261000000,0,-877000000,-159000000,43000000,-2140000000,-3133000000,-21000000,-1227000000,-3556000000,-2287000000,-7091000000,-23000000,0,9882000000,9882000000,7261000000,0,7261000000
JNJ,2021,13326000000,7486000000,-4194000000,0,2507000000,-624000000,-1323000000,2346000000,2108000000,18239000000,22791000000,-4543000000,358000000,-10906000000,19390000000,-3421000000,878000000,-10781000000,-5054000000,-11770000000,-1602000000,-15825000000,-112000000,8970000000,21859000000,12889000000,22791000000,-4543000000,18248000000
HCA,2021,5242000000,3077000000,229000000,262000000,-457000000,-935000000,-126000000,604000000,0,1078000000,9431000000,-4744000000,-442000000,-112000000,0,-19000000,-5317000000,-1264000000,-3811000000,-661000000,-886000000,-4094000000,7000000,27000000,935000000,908000000,9431000000,-4744000000,4687000000
UHS,2021,656982000,581861000,0,85378000,-244349000,-258338000,0,0,13989000,-83849000,996023000,-734001000,-20209000,0,94913000,12001000,-647296000,-89367000,-832918000,-58449000,648266000,-318400000,-8424000,21903000,200837000,178934000,996023000,-734001000,262022000
CAH,2021,262000000,692000000,-31000000,96000000,464000000,-947000000,-340000000,2718000000,-1431000000,1356000000,2839000000,-481000000,-10000000,-7000000,32000000,12000000,-454000000,-579000000,-2000000000,-525000000,53000000,-3051000000,-8000000,-674000000,4043000000,4717000000,2839000000,-481000000,2358000000
THC,2021,1311000000,870000000,52000000,66000000,186000000,-29000000,0,215000000,-186000000,75000000,2374000000,-751000000,0,-104000000,50000000,-164000000,-969000000,0,-200000000,0,-835000000,-1035000000,0,370000000,1228000000,858000000,2374000000,-751000000,1623000000
AMZN,2021,30425000000,48663000000,-5876000000,24023000000,-11541000000,-8348000000,1449000000,5473000000,-10115000000,-748000000,84946000000,-52729000000,-5839000000,-1488000000,5627000000,4596000000,-49833000000,-33737000000,0,0,17858000000,-15879000000,403000000,19637000000,73890000000,54253000000,84946000000,-52729000000,32217000000
WMT,2021,11292000000,10945000000,449000000,227000000,-288000000,240000000,-528000000,-1165000000,1165000000,6443000000,28841000000,-16857000000,-740000000,0,0,-125000000,-17722000000,-2689000000,-9920000000,-6114000000,1684000000,-17039000000,-73000000,-5733000000,9101000000,14834000000,28841000000,-16857000000,11984000000
TGT,2021,2780000000,2700000000,582000000,220000000,-2436000000,0,403000000,-2237000000,-602000000,172000000,4018000000,-5528000000,0,0,0,24000000,-5504000000,-163000000,-2826000000,-1836000000,2629000000,-2196000000,0,-3682000000,2229000000,5911000000,4018000000,-5528000000,-1510000000
COST,2021,6292000000,2077000000,0,774000000,1018000000,0,1228000000,-382000000,172000000,907000000,11068000000,-4323000000,0,-1622000000,937000000,36000000,-4972000000,-1301000000,-676000000,-1251000000,-303000000,-2614000000,15000000,3497000000,13700000000,10203000000,11068000000,-4323000000,6745000000
KR,2021,2249000000,3579000000,161000000,190000000,-3379000000,-222000000,-1370000000,3000000,-1790000000,1511000000,4311000000,-3078000000,0,0,0,63000000,-3015000000,-552000000,-993000000,-682000000,-196000000,-2289000000,0,-993000000,828000000,1821000000,4311000000,-3078000000,1233000000
GPS,2021,-202000000,540000000,42000000,37000000,188000000,0,554000000,-540000000,174000000,2000000,607000000,-685000000,0,0,0,458000000,-227000000,0,-123000000,-220000000,349000000,6000000,-15000000,371000000,1273000000,902000000,607000000,-685000000,-78000000
FL,2021,341000000,208000000,21000000,31000000,-506000000,0,-397000000,-101000000,-8000000,78000000,173000000,-285000000,33000000,-5000000,95000000,0,-162000000,-6000000,-130000000,-150000000,7000000,-279000000,0,-268000000,582000000,850000000,173000000,-285000000,-112000000
M,2021,1177000000,857000000,-38000000,54000000,-454000000,0,116000000,-303000000,-267000000,19000000,1615000000,-1295000000,0,0,0,126000000,-1169000000,-3100000000,-601000000,-173000000,2578000000,-1296000000,0,-850000000,865000000,1715000000,1615000000,-1295000000,320000000
TJX,2021,3498000000,887000000,64000000,122000000,-821000000,-124000000,58000000,-600000000,-155000000,334000000,4084000000,-1457000000,1457000000,-31000000,18000000,-1457000000,-1470000000,0,-2255000000,-1339000000,-33000000,-3306000000,-58000000,-750000000,5477000000,6227000000,4084000000,-1457000000,2627000000
SPG,2021,2452385000,1292113000,0,0,148886000,0,0,190103000,-41217000,-126780000,3766604000,-650024000,-439156000,-66140000,26086000,502670000,-626564000,-3721864000,-189355000,-2592472000,3451343000,-3052348000,0,87692000,621628000,533936000,3766604000,-650024000,3116580000
NFLX,2021,5407990000,14554384000,-459359000,339368000,-116148000,0,0,93502000,-209650000,-12451934000,7274301000,-348552000,0,-504862000,1395165000,0,541751000,0,-6045347000,0,-75446000,-5950803000,82684000,1947933000,7118515000,5170582000,7274301000,-348552000,6925749000
ATVI,2021,1858000000,103000000,0,487000000,0,0,0,0,0,-2448000000,2448000000,0,0,0,0,0,0,0,0,0,0,0,0,2448000000,2448000000,0,2448000000,0,2448000000
EA,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPOT,2021,-532000000,158000000,27000000,321000000,464000000,-145000000,0,501000000,108000000,242000000,680000000,-6000000,-7000000,-1590000000,1379000000,7000000,-217000000,-66000000,0,0,-58497753,234000000,-66000000,631000000,3114000000,2483000000,680000000,-6000000,674000000
ROKU,2021,-709561000,128026000,0,370130000,205963000,-56937000,14725000,248175000,-205963000,467261000,255856000,-82619000,0,-10000000,0,0,-92619000,0,0,0,-61243000,-61243000,2654000,104648000,2066604000,1961956000,255856000,-82619000,173237000
LYV,2021,409193000,449976000,7199000,110049000,637853000,-463977000,0,1002158000,99672000,217793000,1832063000,-353286000,-344514000,0,5220000,-92111000,-784691000,-45792000,0,0,-133323000,-143340000,-179450000,724582000,5612374000,4887792000,1832063000,-353286000,1478777000
DIS,2021,3390000000,5369000000,-1346000000,1143000000,177000000,358000000,-183000000,-1142000000,1144000000,1133000000,9866000000,-4969000000,0,0,458000000,-130000000,-4641000000,-1866000000,0,0,-858000000,-2724000000,73000000,2574000000,14235000000,11661000000,9866000000,-4969000000,4897000000
AMC,2021,-973600000,396000000,1700000,22500000,-73300000,4000000,0,-40400000,-36900000,-1800000,-628500000,-219800000,-27900000,0,13000000,10700000,-224000000,-1449400000,0,-700000,1358800000,-91300000,-22100000,-965900000,654400000,1620300000,-628500000,-219800000,-848300000
